student_id,group,pretest,posttest,delayed,cards_reviewed,review_regularity,mcq_accuracy,maps_completed,time_on_task_min,usability,engagement,usefulness,bilingual_design
S001,Experimental,10.2,15.67,14.02,95.0,0.503,0.794,5.0,253.0,3.67,4.53,4.59,4.43
S002,Experimental,12.09,15.31,14.18,123.0,0.681,0.776,5.0,222.0,4.71,3.91,3.99,4.22
S003,Experimental,10.72,15.16,13.98,131.0,0.298,0.702,2.0,182.0,4.66,3.93,3.78,3.99
S004,Experimental,11.0,16.17,15.97,155.0,0.615,0.802,7.0,264.0,4.44,4.04,4.34,4.72
S005,Experimental,6.15,10.38,10.16,181.0,0.966,0.718,10.0,216.0,3.93,4.1,4.49,4.76
S006,Experimental,11.32,14.52,12.95,95.0,0.22,0.639,2.0,175.0,4.17,4.41,3.99,4.48
S007,Experimental,10.94,15.95,15.74,135.0,0.554,0.659,6.0,225.0,4.11,4.29,4.42,4.73
S008,Experimental,9.27,13.38,14.1,98.0,0.405,0.671,5.0,186.0,3.91,4.78,4.02,4.77
S009,Experimental,7.35,10.2,9.71,146.0,0.352,0.812,5.0,193.0,3.38,4.04,3.94,4.52
S010,Experimental,9.55,13.83,13.95,173.0,0.726,0.927,8.0,307.0,4.83,3.29,3.88,3.94
S011,Experimental,8.6,13.78,13.18,101.0,0.462,0.806,6.0,320.0,5.0,4.25,3.71,3.33
S012,Experimental,10.12,13.8,13.55,132.0,0.617,0.789,5.0,186.0,3.26,3.71,4.17,5.0
S013,Experimental,9.8,13.05,13.32,91.0,0.317,0.97,3.0,205.0,3.65,4.56,4.39,4.32
S014,Experimental,9.41,15.14,14.75,159.0,0.853,0.833,13.0,377.0,4.04,4.17,4.85,4.51
S015,Experimental,8.55,13.48,11.3,145.0,0.464,0.639,8.0,317.0,4.01,3.77,4.93,3.85
S016,Experimental,7.44,11.78,10.98,185.0,0.871,0.945,7.0,373.0,3.07,3.97,3.78,3.79
S017,Experimental,7.48,13.69,14.08,196.0,0.824,0.774,10.0,373.0,4.77,3.91,3.85,4.29
S018,Experimental,10.06,13.23,12.35,181.0,0.945,0.982,5.0,280.0,3.37,3.65,4.36,5.0
S019,Experimental,7.82,9.73,9.08,153.0,0.815,0.718,7.0,213.0,3.37,5.0,3.56,3.85
S020,Experimental,13.72,16.03,15.56,113.0,0.512,0.659,3.0,202.0,4.32,3.77,4.13,3.71
S021,Experimental,8.95,13.15,12.85,108.0,0.42,0.769,4.0,169.0,4.1,3.57,4.36,4.35
S022,Experimental,14.31,19.45,19.34,130.0,0.795,0.816,7.0,186.0,4.56,4.27,3.64,4.16
S023,Experimental,10.11,14.4,13.69,166.0,0.762,0.942,1.0,285.0,4.19,4.18,4.01,3.52
S024,Experimental,10.25,12.23,10.66,116.0,0.458,0.661,4.0,256.0,4.39,5.0,4.79,4.62
S025,Experimental,13.51,19.38,18.85,178.0,0.701,0.895,4.0,349.0,4.0,4.7,4.58,5.0
S026,Experimental,11.18,16.2,16.45,189.0,1.0,0.879,6.0,288.0,4.12,3.27,3.86,4.56
S027,Experimental,12.16,13.55,12.48,168.0,0.734,0.952,2.0,251.0,4.4,3.05,4.94,4.58
S028,Experimental,11.45,17.47,15.71,200.0,0.861,0.831,5.0,319.0,4.02,4.23,4.7,3.87
S029,Experimental,9.21,12.99,12.93,193.0,0.878,0.802,10.0,375.0,4.52,4.33,5.0,4.3
S030,Experimental,4.89,8.87,7.98,210.0,0.584,0.666,3.0,242.0,4.32,4.31,4.34,3.69
S031,Experimental,4.19,8.56,7.34,233.0,0.926,0.888,8.0,391.0,3.75,3.89,4.3,4.81
S032,Experimental,8.59,12.94,12.25,205.0,0.6,0.666,3.0,161.0,3.76,4.45,4.06,4.5
S033,Experimental,12.01,16.88,14.86,203.0,0.82,0.749,4.0,280.0,3.92,4.48,5.0,3.71
S034,Experimental,10.4,15.73,15.05,111.0,0.806,0.733,5.0,231.0,3.77,4.26,4.11,4.56
S035,Experimental,10.33,14.98,15.51,259.0,0.936,0.928,9.0,357.0,4.27,5.0,5.0,4.43
